0¦OTHER¦1581427559385¦1581427559898¦1581427559838¦1581427559385¦1581427559898¦1581427559898¦hello¦Vlad31,Malin;¦ ⁰h ²²e ¹⁵⁸l ²²⁵l ¹⁰⁸o¦hello¦
0¦SELF¦1581427563321¦1581427656822¦1581427656792¦1581427563321¦1581427656822¦1581427656822¦hellohello again!have you read th instructions¦Vlad31,Malin;¦ ⁰h ¹²³e ²³⁴l ¹⁶⁹l ¹⁷⁵o ⁷⁸³⁶⁹h ⁷⁵e ¹³⁰l ¹⁴³l ¹⁴¹o ¹⁰⁰  ³⁰a ¹²⁹g ¹⁰⁹a ⁷⁴i ²¹⁵n ³¹²! ⁸⁰⁰⁹h ⁴⁵a ¹¹⁸v ¹¹²e ⁷¹  ¹¹⁶y ⁴⁷o ⁵⁰u ⁸³  ⁷⁴r ⁸¹e ⁷⁷a ¹⁷³d ⁹²  ⁷²t ⁹⁶h ¹²⁵  ¹⁸³i ¹⁶⁶n ¹⁶⁶⁸s ¹³²t ¹⁷⁴r ¹²²u ³⁹⁸c ¹⁸⁷t ⁷⁷i ⁴²o ²²⁰n ¹⁶³s¦hello▅▅▅▅▅▅▅hello again!▅▅▅▅have you read th in▅structions¦
0¦OTHER¦1581427664194¦1581427677402¦1581427677373¦1581427664194¦1581427677402¦1581427677402¦Yes, I just finnishedNot easy¦Vlad31,Malin;¦ ⁰Y ²¹³e ¹⁷⁴s ¹⁰⁴⁸, ¹²⁴  ²⁹⁰I ¹⁹⁸  ²⁰²j ⁹⁵u ¹²²s ¹²⁰t ²⁷⁹  ⁷⁷f ³³⁹i ²⁰⁴n ⁸¹⁷n ¹⁴⁰i ¹⁷¹s ³⁰⁶h ⁷e ¹¹¹⁹d ⁵⁴³⁷N ⁹⁵o ³⁰⁰t ⁵²²  ¹⁵¹e ²⁴⁸a ¹⁶²s ²⁴⁸y¦Yes▅, I just finnishe▅d▅▅▅Not easy¦
0¦SELF¦1581427679297¦1581427688202¦1581427688174¦1581427679297¦1581427688202¦1581427688202¦no hahaintits an interesting one!¦Vlad31,Malin;¦ ⁰n ⁴¹o ⁶⁷⁸  ¹²¹h ⁹¹a ⁹⁸h ⁹⁰a ¹³⁴¹i ¹⁷³n ⁹²t ¹⁶⁵³i ⁸²t ⁸⁷⁸s ⁵¹⁵  ⁹¹a ¹³⁴n ⁴⁶⁸  ²¹²i ¹⁷³n ¹²¹t ¹³⁶e ⁶⁰r ¹⁰¹e ¹⁵¹s ⁶⁰t ¹²⁵i ¹⁴²n ⁷²g ⁸¹  ¹⁵⁵o ⁷⁰n ⁷⁷e ⁶²³!¦no haha▅int▅its an interesting one!¦
0¦OTHER¦1581427690715¦1581427709507¦1581427709479¦1581427690715¦1581427709507¦1581427709507¦Yes. So, do you have any concrete thoughts regading who is expendible¦Vlad31,Malin;¦ ⁰Y ⁶¹⁷e ³⁰⁷s ¹³³⁷. ¹²²⁰  ⁵²¹S ³⁰⁷o ⁵⁹⁰, ¹²⁷  ¹⁹⁹d ¹⁰⁸o ²⁰¹  ³⁰⁸y ¹⁰⁷o ²⁰⁵u ²⁰⁵  ¹³⁷h ⁹⁶a ¹⁰³v ¹²³e ¹⁰⁸  ¹²³a ¹³⁸n ²⁷²y ¹³⁶¹  ⁹c ¹⁵⁹o ²³⁷n ⁸²¹c ⁹⁴r ¹⁰⁷e ¹⁴⁵t ¹¹⁹e ²⁴⁰  ¹⁰³⁷t ⁹h ⁵o ²u ²⁷⁷g ¹⁰³h ²²¹t ²⁹⁸s ⁵¹²  ⁵⁰⁷r ⁹¹e ¹²⁶g ¹⁵¹a ³⁵⁷d ³⁰⁴i ⁷⁷n ¹⁵²g ¹⁰⁹  ⁴⁷⁴w ²⁰⁵h ³¹⁵o ¹³⁷  ²⁶²i ⁶¹s ¹⁴³  ¹⁵⁵e ²¹⁶x ³⁶²p ¹³⁴e ¹³⁹n ²³⁴d ³⁰⁵i ³⁰⁹b ¹³⁴l ¹¹⁸e¦Yes▅.▅ So, do you have any▅ concrete ▅thoughts regading who is expendible¦
0¦SELF¦1581427720420¦1581427740082¦1581427740055¦1581427720420¦1581427740082¦1581427740082¦not really yaeeti mean oall of them seem to be per*people you want to saev*save¦Vlad31,Malin;¦ ⁰n ⁶⁰o ⁶⁴t ⁷⁹  ¹²⁴r ⁴⁶e ⁷⁴a ⁷⁷l ¹⁴⁴l ⁴¹y ⁸⁶  ¹⁵⁰y ¹¹³a ¹¹e ³⁷e ⁶⁴⁹t ⁴⁴³²i ¹⁴⁵  ¹³²m ⁸³e ⁸¹a ¹²⁹n ³⁹⁶  ⁴²⁰o ⁴⁵⁵a ²¹⁵l ¹⁵³l ¹¹²  ³¹²o ⁶⁴f ¹¹⁰  ³⁵⁷t ⁷⁵h ¹¹⁸e ⁸⁰m ¹¹¹  ⁷²s ⁸⁴e ¹⁴⁰e ⁷⁷m ¹⁴⁸  ⁸⁰³t ⁹⁵o ¹²⁶  ⁸¹⁵b ¹⁶⁴e ¹¹⁶  ³¹⁵p ¹⁰⁸e ⁸⁴r ¹⁶⁹²* ³⁴⁸p ⁷⁰e ¹⁰⁰o ¹⁴²p ¹⁶⁵l ⁹²e ²³⁹  ¹⁶³y ⁴⁵o ⁷⁹u ⁹⁰  ¹⁰⁰w ⁵¹a ⁵⁴⁰n ¹²⁴t ¹²⁸  ⁷⁷t ⁷⁸o ¹¹²  ⁷³s ⁷¹a ²¹³e ⁹v ¹²⁹²* ³⁰²s ¹¹²a ¹⁵⁴v ¹¹⁹e¦not really yaeet▅▅▅i mean oall of them seem to be per▅*people you want to saev▅*save¦
0¦OTHER¦1581427742731¦1581427794446¦1581427794421¦1581427742731¦1581427794446¦1581427794446¦Yes. I agree.I mean, the logical thing would be age, but that is also difficult. We hasve*have a pregnant woman as well.¦Vlad31,Malin;¦ ⁰Y ⁵⁹⁸e ³²⁸s ¹¹³³. ¹⁰⁸  ³⁰²I ¹³⁹  ²⁶⁵a ⁸g ³⁰⁴r ⁸e ²³⁵e ¹¹⁰¹. ⁹⁴⁰³I ⁹¹⁶  ⁷⁶m ¹⁸³e ²⁵⁵a ⁸²n ⁸³⁸, ¹⁴¹  ²⁷¹t ⁸h ¹⁸³⁹e ¹⁹⁴⁰  ³⁰⁸l ³¹²o ³⁰⁰g ³²¹i ²⁹⁵c ¹²⁴a ¹⁵⁹l ²¹⁴  ¹²³t ¹²³h ²⁹²i ²⁰⁵n ²⁰⁶g ²⁰⁰  ²⁹⁸w ⁷²o ²⁴⁷u ¹⁵⁶l ¹⁴²d ¹⁰⁷  ¹³⁹b ¹⁰⁴e ²⁰¹⁵  ³⁰³a ⁷⁴g ¹⁷²e ³⁰²⁶, ¹³⁹  ²⁶⁸b ¹³³u ¹⁸²t ⁹³  ¹⁸⁴t ²⁴⁰h ¹⁰²⁴a ³t ⁷³⁶  ¹⁸⁰⁹i ²⁰⁸s ⁸²  ¹²⁰a ¹²²l ¹²³s ¹²³o ⁴⁶³  ¹³⁹d ¹⁵⁴i ³¹¹f ⁷f ¹¹³i ¹²⁷⁵c ⁹u ³l ⁷t ³³⁹. ⁸  ⁴W ³e ²⁷⁵  ³¹⁰h ³a ¹s ¹⁶⁵v ¹²¹e ²⁷⁸⁸* ⁷²⁰h ⁸a ¹²⁸v ¹¹¹e ⁸⁹  ¹³⁷a ¹²⁶²  ³¹⁴p ⁷r ³⁰²e ⁵⁰⁵g ¹⁹⁹n ¹⁰⁶a ²⁶²n ²⁰¹t ¹²⁸  ⁴⁷²w ¹⁰⁹o ²⁶⁹m ⁶¹¹a ¹⁶³n ²⁴⁵  ⁶²a ¹⁵³s ²⁵¹  ¹⁵⁴w ²⁰⁰e ¹⁴⁹l ¹³⁸l ¹⁶⁵⁵.¦Yes▅. I agree▅.▅▅▅▅I mean, th▅e▅ logical thing would be▅▅ age▅▅, but th▅at ▅is also diffi▅cult. We hasve▅▅*have a▅ pregnant woman as well▅.¦
0¦SELF¦1581427796971¦1581427807584¦1581427807559¦1581427796971¦1581427807584¦1581427807584¦yeah, i think she shouldbt be thrown uoout al*at least¦Vlad31,Malin;¦ ⁰y ⁵²e ⁵¹a ¹³⁴h ²⁴⁴, ⁸¹  ¹⁴¹i ¹¹⁹  ¹⁴⁵t ⁴⁷h ⁷⁸i ¹⁰⁸n ¹⁶¹k ⁸⁶  ²²²s ¹²¹h ⁷¹e ¹¹³  ⁹⁴s ⁵⁹h ⁸⁹o ⁷¹u ¹¹⁰l ¹⁰⁶d ³⁸²b ⁵⁴⁹t ⁴⁵⁶  ¹¹⁶b ¹⁶²e ¹³⁰  ²⁰⁶t ¹⁶²h ¹⁴¹r ⁸²o ²¹⁸w ⁹⁰n ¹⁵³  ²⁸⁶u ⁹o ¹⁴⁶¹o ³¹u ⁴⁶⁷t ²³⁴  ²²⁵a ⁷⁰l ¹⁰⁶⁶* ³²⁶a ⁷¹t ⁴⁴⁰  ¹³⁸l ¹⁰²e ¹⁰²a ¹⁸³s ⁵²t¦yeah, i think she shouldbt be thrown uo▅out al▅*at least¦
0¦OTHER¦1581427812973¦1581427812973¦1581427812947¦1581427812973¦1581427812973¦1581427812973¦Y¦Vlad31,Malin;¦ ⁰Y¦Y¦
0¦SELF¦1581427817176¦1581427817176¦1581427817152¦1581427817176¦1581427817176¦1581427817176¦t¦Vlad31,Malin;¦ ⁰t¦t¦
0¦OTHER¦1581427817186¦1581427817186¦1581427817160¦1581427817186¦1581427817186¦1581427817186¦I¦Vlad31,Malin;¦ ⁰I¦I¦
